name,total_money_raised,city,country_code,latitude,longitude
Joost,4500000.0,New York,USA,40.7464969,-74.0094471
Livestream,1470000.0,New York,USA,40.726155,-73.995625
Pando Networks,1100000.0,New York,USA,40.722655,-73.99873
SpiralFrog,4500000.0,New York,USA,37.09024,-95.712891
OMGPOP,1660000.0,New York,USA,40.723384,-74.001704
RayV,1600000.0,New York,USA,40.781159,-73.978332
Motionbox,1720000.0,New York,USA,40.606061,-73.822331
Gilt Groupe,23600000.0,New York,USA,40.74727,-73.9800645
WeShow,500000.0,New York,USA,40.752516,-73.973072
Boonty,1000000.0,New York,USA,40.717248,-74.002662
Generate,800000.0,New York,USA,40.7570972,-73.969821
Cellufun,523000.0,New York,USA,40.73993,-73.9930489
Velocix,2500000.0,New York,USA,40.758504,-73.980068
PixelCrayons,0.0,New York,USA,28.682042,77.087502
New York Designs,0.0,New York,USA,40.743264,-73.923427
My Damn Channel,866000.0,New York,USA,40.754762,-73.988543
IDEO,0.0,New York,USA,40.721026,-74.001614
StyleCard,0.0,New York,USA,40.738137,-74.0058
Pond5,50000.0,New York,USA,40.7280992,-73.9933841
Pond5,50000.0,New York,USA,40.7280992,-73.9933841
Fabian Rossano Studio,0.0,New York,USA,40.740371,-74.004777
For Your Imagination,130000.0,New York,USA,40.744594,-73.989698
Aghreni Technologies,0.0,New York,USA,40.744549,-73.988071
Novalsys,0.0,New York,USA,40.7283696,-73.9923918
Robotgalaxy,1200000.0,New York,USA,40.737216,-73.990947
Eastmedia,0.0,New York,USA,40.752409,-73.988676
Rhxo Technology Group,0.0,New York,USA,40.762897,-73.974714
Comixology,347000.0,New York,USA,40.740512,-73.987794
Digital Bloom,0.0,New York,USA,40.718177,-74.004602
MindSmack,0.0,New York,USA,40.758492,-73.989987
Major League Gaming,6900000.0,New York,USA,40.752672,-73.97593
Crispy Gamer,825000.0,New York,USA,40.750597,-73.985273
Hirshorn Zuckerman Design Group,0.0,New York,USA,40.756054,-73.986951
Saavn,600000.0,New York,USA,40.743877,-73.98618
GameGround,1140000.0,New York,USA,40.756054,-73.986951
Covet Shop,0.0,New York,USA,40.72874,-73.989324
Synesis IT,0.0,New York,USA,40.748873,-73.987106
Ramp Up Tech,0.0,New York,USA,40.746514,-73.993035
Exent,300000.0,New York,USA,40.7523796,-74.005568
