name,total_money_raised,city,country_code,latitude,longitude
Digg,4500000.0,San Francisco,USA,37.764726,-122.394523
Kyte,2340000.0,San Francisco,USA,37.788482,-122.409173
Ustream,6010000.0,San Francisco,USA,37.392936,-122.07948
Revision3,900000.0,San Francisco,USA,37.757758,-122.388243
CastTV,310000.0,San Francisco,USA,37.780716,-122.393913
hi5,5200000.0,San Francisco,USA,37.788668,-122.400558
Curse,1200000.0,San Francisco,USA,37.787092,-122.399972
Metacafe,5000000.0,San Francisco,USA,37.437328,-122.159928
Kongregate,1900000.0,San Francisco,USA,37.786942,-122.401245
DanceJam,450000.0,San Francisco,USA,37.781557,-122.407959
Mevio,4890000.0,San Francisco,USA,37.782263,-122.392142
Crunchyroll,480000.0,San Francisco,USA,37.781265,-122.393229
Rupture,300000.0,San Francisco,USA,37.783898,-122.395234
PlayFirst,3770000.0,San Francisco,USA,37.790346,-122.40185
Outspark,2330000.0,San Francisco,USA,37.775196,-122.419204
Zynga,86000000.0,San Francisco,USA,37.765158,-122.404234
99designs,3500000.0,San Francisco,USA,37.7955307,-122.4005983
Cutcaster,0.0,San Francisco,USA,37.79851,-122.457454
Serious Business,400000.0,San Francisco,USA,37.7893215,-122.4013624
Kabam,12500000.0,San Francisco,USA,37.3944561,-122.0785314
Citizen Sports,1000000.0,San Francisco,USA,37.777513,-122.397044
PurePlay,1500000.0,San Francisco,USA,37.775196,-122.419204
Lexy,171000.0,San Francisco,USA,37.786906,-122.397672
Minted,5270000.0,San Francisco,USA,37.797435,-122.403175
ngmoco,4480000.0,San Francisco,USA,37.7705096,-122.4015807
Ecolect,0.0,San Francisco,USA,37.776769,-122.410111
Shattered Reality Interactive,110000.0,San Francisco,USA,37.783046,-122.394067
Popego,0.0,San Francisco,USA,37.778687,-122.421242
Milobox,0.0,San Francisco,USA,37.792979,-122.421242
Ecolect,0.0,San Francisco,USA,37.776769,-122.410111
Shattered Reality Interactive,110000.0,San Francisco,USA,37.783046,-122.394067
Popego,0.0,San Francisco,USA,37.778687,-122.421242
Milobox,0.0,San Francisco,USA,37.792979,-122.421242
Brightstorm,600000.0,San Francisco,USA,37.804619,-122.371203
One Season,375000.0,San Francisco,USA,37.775196,-122.419204
Booyah,5950000.0,San Francisco,USA,37.420728,-122.2103414
GotGame,100000.0,San Francisco,USA,37.77772,-122.395785
Heyzap,797000.0,San Francisco,USA,37.7905538,-122.4041485
Unity Technologies,1750000.0,San Francisco,USA,55.6924605,12.530107
Bamboudesign,0.0,San Francisco,USA,37.775087,-122.415199
Netbiscuits,2700000.0,San Francisco,USA,37.7550372,-122.4264417
Exent,300000.0,San Francisco,USA,37.787646,-122.402759
